num_files	year	N
130	2021	130
130	2022	50
130	2023	5
130	2024	60
131	2014	146
131	2015	2
131	2016	28
131	2017	41
131	2018	26
131	2019	24
131	2020	57
131	2021	123
131	2022	49
131	2023	5
131	2024	63
132	2014	143
132	2015	2
132	2016	26
132	2017	40
132	2018	25
132	2019	24
132	2020	53
132	2021	126
132	2022	52
132	2023	5
132	2024	59
133	2014	137
133	2015	2
133	2016	26
133	2017	42
133	2018	25
133	2019	26
133	2020	57
133	2021	126
133	2022	52
133	2023	5
133	2024	62
134	2014	140
134	2015	2
134	2016	26
134	2017	42
134	2018	25
134	2019	27
134	2020	59
134	2021	125
134	2022	49
134	2023	5
134	2024	63
135	2014	143
135	2015	2
135	2016	27
135	2017	39
135	2018	25
135	2019	25
135	2020	62
135	2021	125
135	2022	56
135	2023	5
135	2024	61
136	2014	151
136	2015	2
136	2016	27
136	2017	42
136	2018	27
136	2019	26
136	2020	58
136	2021	128
136	2022	51
136	2023	5
136	2024	58
137	2014	143
137	2015	2
137	2016	28
137	2017	42
137	2018	25
137	2019	26
137	2020	60
137	2021	131
137	2022	53
137	2023	5
137	2024	60
138	2014	142
138	2015	2
138	2016	30
138	2017	42
138	2018	25
138	2019	25
138	2020	58
138	2021	134
138	2022	52
138	2023	5
138	2024	64
139	2014	138
139	2015	2
139	2016	26
139	2017	41
139	2018	26
139	2019	25
139	2020	60
139	2021	127
139	2022	48
139	2023	5
139	2024	64
140	2014	146
140	2015	2
140	2016	28
140	2017	39
140	2018	26
140	2019	27
140	2020	58
140	2021	129
140	2022	48
140	2023	5
140	2024	63
141	2014	143
141	2015	2
141	2016	27
141	2017	40
141	2018	26
141	2019	25
141	2020	61
141	2021	124
141	2022	52
141	2023	5
141	2024	64
142	2014	144
142	2015	2
142	2016	27
142	2017	44
142	2018	25
142	2019	25
142	2020	55
142	2021	127
142	2022	54
142	2023	5
142	2024	59
143	2014	149
143	2015	2
143	2016	27
143	2017	44
143	2018	27
143	2019	24
143	2020	60
143	2021	136
143	2022	54
143	2023	5
143	2024	63
144	2014	139
144	2015	2
144	2016	25
144	2017	38
144	2018	26
144	2019	26
144	2020	62
144	2021	125
144	2022	51
144	2023	5
144	2024	63
145	2014	141
145	2015	2
145	2016	29
145	2017	40
145	2018	26
145	2019	26
145	2020	61
145	2021	127
145	2022	49
145	2023	5
145	2024	62
146	2014	144
146	2015	2
146	2016	27
146	2017	42
146	2018	26
146	2019	26
146	2020	63
146	2021	132
146	2022	53
146	2023	5
146	2024	60
147	2014	138
147	2015	2
147	2016	27
147	2017	39
147	2018	25
147	2019	24
147	2020	60
147	2021	130
147	2022	58
147	2023	5
147	2024	64
148	2014	146
148	2015	2
148	2016	27
148	2017	43
148	2018	25
148	2019	25
148	2020	59
148	2021	125
148	2022	57
148	2023	5
148	2024	62
149	2014	144
149	2015	2
149	2016	27
149	2017	42
149	2018	27
149	2019	27
149	2020	59
149	2021	132
149	2022	57
149	2023	5
149	2024	64
150	2014	145
150	2015	2
150	2016	27
150	2017	41
150	2018	25
150	2019	25
150	2020	56
150	2021	132
150	2022	53
150	2023	5
150	2024	62
151	2014	141
151	2015	2
151	2016	29
151	2017	40
151	2018	26
151	2019	27
151	2020	62
151	2021	126
151	2022	53
151	2023	5
151	2024	65
152	2014	138
152	2015	2
152	2016	25
152	2017	40
152	2018	25
152	2019	27
152	2020	60
152	2021	127
152	2022	56
152	2023	5
152	2024	60
153	2014	143
153	2015	2
153	2016	28
153	2017	41
153	2018	26
153	2019	24
153	2020	58
153	2021	125
153	2022	52
153	2023	5
153	2024	60
154	2014	145
154	2015	2
154	2016	27
154	2017	42
154	2018	25
154	2019	23
154	2020	57
154	2021	133
154	2022	58
154	2023	5
154	2024	62
155	2014	142
155	2015	2
155	2016	28
155	2017	44
155	2018	25
155	2019	23
155	2020	62
155	2021	129
155	2022	50
155	2023	5
155	2024	62
156	2014	149
156	2015	2
156	2016	26
156	2017	41
156	2018	25
156	2019	26
156	2020	62
156	2021	129
156	2022	59
156	2023	5
156	2024	62
157	2014	140
157	2015	2
157	2016	28
157	2017	40
157	2018	26
157	2019	25
157	2020	60
157	2021	130
157	2022	57
157	2023	5
157	2024	65
158	2014	146
158	2015	2
158	2016	25
158	2017	43
158	2018	26
158	2019	23
158	2020	64
158	2021	126
158	2022	57
158	2023	5
