id	fragment_scans	mz	rt	height	has_MSMS_scan
6489	5	328.32112	10.2995	3997000	TRUE
6565	17	804.55295	10.328	1027000	TRUE
6599	6	298.31051	10.3386	1801000	TRUE
6600	24	286.31048	10.3471	10860000	TRUE
6626	6	654.43439	10.3674	310100	TRUE
6631	15	296.23016	10.3933	7503000	TRUE
6756	12	391.28432	10.4183	1533000	TRUE
6790	6	316.32106	10.429	5626000	TRUE
6791	0	330.32408	10.4367	1059000	FALSE
6823	35	627.53487	10.4581	2675000	TRUE
6826	20	357.27912	10.4558	1371000	TRUE
6838	0	330.34957	10.4519	1163000	FALSE
6870	2	253.21622	10.4649	402600	TRUE
6880	1	313.32943	10.4678	2472000	TRUE
6895	3	577.40927	10.4925	729300	TRUE
6916	8	330.33673	10.4978	174400000	TRUE
6917	6	331.34008	10.4938	38890000	TRUE
6918	10	346.3317	10.4926	3884000	TRUE
6946	2	314.26907	10.525	706800	TRUE
7007	16	349.27381	10.5402	2123000	TRUE
7027	91	249.18495	10.5418	1854000	TRUE
7043	1	374.36302	10.531	521900	TRUE
7052	0	347.33512	10.5458	779900	FALSE
7066	26	357.2792	10.5535	2300000	TRUE
7118	36	265.25263	10.563	32690000	TRUE
7145	4	109.10112	10.558	916100	TRUE
7195	18	263.23697	10.5962	3850000	TRUE
7201	3	344.31606	10.5968	781100	TRUE
7248	0	356.3384	10.6346	672000	FALSE
7270	1	304.29993	10.6302	327700	TRUE
7311	3	326.26905	10.6453	502000	TRUE
7313	2	286.31054	10.6468	8786000	TRUE
7319	0	313.32945	10.6542	2326000	FALSE
7417	0	356.33793	10.6922	488500	FALSE
7498	9	312.32614	10.7611	7892000	TRUE
7508	11	423.36241	10.7706	1050000	TRUE
7537	5	372.34743	10.7835	624000	TRUE
7569	4	242.24784	10.8179	1041000	TRUE
7639	3	466.41031	10.8374	431000	TRUE
7715	0	601.47183	10.8881	704400	FALSE
7801	93	356.35236	10.9806	10120000	TRUE
7819	7	257.26681	10.9925	1314000	TRUE
7831	5	598.44855	10.9995	1262000	TRUE
7837	13	344.3524	10.9962	902900	TRUE
7854	1	447.11682	11.0261	476100	TRUE
7855	0	593.15768	11.0265	578700	FALSE
7968	25	163.99052	11.1413	332100	TRUE
7982	1	479.39432	11.149	387400	TRUE
8003	18	762.21779	11.167	961700	TRUE
8007	15	205.0171	11.1781	426800	TRUE
8083	1	447.11666	11.2712	638400	TRUE
8121	6	758.22174	11.3016	2235000	TRUE
8212	15	163.99052	11.4505	320700	TRUE
8288	1	725.1638	11.6109	412300	TRUE
8300	0	743.19332	11.61	354100	FALSE
8337	1	613.5083	11.7017	270600	TRUE
8340	15	358.36806	11.6884	4314000	TRUE
8374	18	358.368	11.7993	6223000	TRUE
8398	2	687.18272	11.8763	3890000	TRUE
8426	7	856.40573	11.9219	374100	TRUE
8427	1	857.40558	11.9219	220000	TRUE
8484	21	431.35201	12.0481	819200	TRUE
8491	2	815.21388	12.0653	619100	TRUE
8497	1	856.24601	12.0664	442000	TRUE
8579	0	520.13878	12.2844	1162000	FALSE
8624	2	359.37139	12.3588	1159000	TRUE
8631	0	1446.40041	12.4151	602600	FALSE
8635	23	761.20135	12.4291	3762000	TRUE
8657	1	701.23483	12.4544	1527000	TRUE
8676	0	1373.38173	12.5169	605700	FALSE
8688	0	1374.38109	12.5545	296800	FALSE
8738	3	382.04449	12.6832	306900	TRUE
