id	fragment_scans	mz	rt	height	has_MSMS_scan
10896	1	357.27913	9.5228	264000	TRUE
10903	6	564.5355	9.5331	593100	TRUE
10904	0	658.5766	9.5447	66570	FALSE
10907	0	273.25772	9.5212	124800	FALSE
10911	0	561.50531	9.5008	172400	FALSE
10912	0	598.54856	9.53	490000	FALSE
10913	0	521.51233	9.534	197800	FALSE
10917	0	685.2042	9.5649	79510	FALSE
10918	0	686.20209	9.568	65820	FALSE
10919	0	684.20351	9.5655	121400	FALSE
10920	0	586.51759	9.5604	133600	FALSE
10921	0	674.57231	9.5561	63630	FALSE
10922	0	539.52301	9.5486	764900	FALSE
10930	0	565.53888	9.569	358800	FALSE
10932	0	589.53856	9.5959	102200	FALSE
10933	1	440.44661	9.5882	90400	TRUE
10934	0	667.5483	9.5838	119700	FALSE
10938	0	552.5352	9.585	132900	FALSE
10939	0	564.53549	9.5794	1082000	FALSE
10942	0	813.56831	9.5937	296200	FALSE
10944	0	590.54883	9.5973	41310	FALSE
10945	0	358.2826	9.6068	58820	FALSE
10948	1	588.53583	9.6098	257200	TRUE
10949	1	357.2791	9.6109	215800	TRUE
10950	3	570.54609	9.6063	3380000	TRUE
10951	0	571.54945	9.61	1274000	FALSE
10952	0	572.55276	9.6031	269400	FALSE
10953	0	592.52799	9.6084	1753000	FALSE
10954	0	593.53144	9.612	660800	FALSE
10955	0	716.61983	9.6033	132200	FALSE
10956	0	565.53889	9.6144	409200	FALSE
10957	0	586.51758	9.6112	253700	FALSE
10958	0	685.20434	9.6151	67080	FALSE
10959	1	546.52473	9.5919	235900	TRUE
10960	7	497.45683	9.6302	152300	TRUE
10961	0	717.62041	9.6233	57860	FALSE
10964	0	566.54249	9.6376	81130	FALSE
10965	0	587.5216	9.6404	113300	FALSE
10967	0	547.528	9.6258	95520	FALSE
10969	0	649.53777	9.6796	78710	FALSE
10973	0	572.5528	9.6548	269400	FALSE
10976	0	906.25986	9.6547	54020	FALSE
10977	0	907.26062	9.6626	44180	FALSE
10978	0	589.53839	9.6473	289900	FALSE
10980	3	588.53585	9.6633	716200	TRUE
10981	8	570.54606	9.6554	3416000	TRUE
10982	0	571.54947	9.6613	1289000	FALSE
10984	0	552.53525	9.6613	206500	FALSE
10985	0	553.53853	9.6634	81300	FALSE
10987	0	684.2035	9.645	116100	FALSE
10988	1	564.5355	9.6456	1059000	TRUE
10995	0	594.53375	9.6729	141600	FALSE
10997	0	590.54446	9.6546	62630	FALSE
10998	0	610.51714	9.6487	86830	FALSE
10999	0	593.53151	9.6833	744300	FALSE
11001	2	592.52807	9.6889	1923000	TRUE
11006	0	440.44654	9.6733	55340	FALSE
11009	0	567.53493	9.6906	85810	FALSE
11017	0	542.542	9.7162	97360	FALSE
11018	0	814.57128	9.699	217400	FALSE
11023	0	541.53887	9.7228	499900	FALSE
11027	2	596.56175	9.7242	990700	TRUE
11030	0	675.55275	9.7343	64330	FALSE
11032	0	815.5746	9.7281	70210	FALSE
11033	0	519.2957	9.723	171700	FALSE
11034	0	518.29916	9.7403	59590	FALSE
11038	0	520.29877	9.737	53370	FALSE
11041	0	554.55124	9.7449	80320	FALSE
11047	0	571.54948	9.7196	1532000	FALSE
11049	0	594.53365	9.7293	149400	FALSE
11054	0	730.63527	9.7497	72550	FALSE
11057	4	517.29617	9.7291	176700	TRUE
11058	0	813.56833	9.7422	357600	FALSE
11060	0	674.57195	9.7449	53400	FALSE
11062	0	658.57699	9.7597	80020	FALSE
11063	0	572.55284	9.7483	299900	FALSE
11066	0	542.54207	9.7652	79870	FALSE
11068	4	596.56162	9.7695	904300	TRUE
11073	0	667.54829	9.7756	90610	FALSE
11074	0	649.53752	9.7793	75760	FALSE
11084	0	693.56369	9.8078	187800	FALSE
11085	4	579.53507	9.8122	442800	TRUE
11090	0	735.58977	9.8012	55040	FALSE
11092	0	519.4774	9.8265	86830	FALSE
11097	0	608.54945	9.8693	49060	FALSE
11099	0	813.56842	9.8432	292800	FALSE
11100	0	814.57149	9.8454	172000	FALSE
11101	0	564.53568	9.845	302700	FALSE
11102	3	596.56172	9.8492	635100	TRUE
11103	0	597.56533	9.8542	273600	FALSE
11107	0	693.56371	9.8616	174900	FALSE
11108	0	565.53908	9.852	108300	FALSE
11109	0	586.56829	9.8804	112300	FALSE
11110	0	694.56716	9.8634	74440	FALSE
11112	0	517.29618	9.8635	85470	FALSE
11114	0	676.58792	9.8613	126000	FALSE
11115	0	677.59068	9.8672	63130	FALSE
11116	8	584.56133	9.8845	1318000	TRUE
11117	0	585.56516	9.8839	533300	FALSE
11118	0	601.51829	9.8799	178000	FALSE
11121	2	579.53523	9.8855	392400	TRUE
11122	0	580.53801	9.8824	166000	FALSE
11125	0	582.5819	9.8945	66430	FALSE
11126	0	519.47746	9.8836	96350	FALSE
11127	0	554.55141	9.8925	74360	FALSE
11128	0	564.53575	9.8865	226000	FALSE
11130	0	349.27393	9.9042	75330	FALSE
11140	0	575.50294	9.9329	55880	FALSE
11141	0	606.54399	9.9262	911200	FALSE
11143	0	607.5472	9.9256	358800	FALSE
11145	0	542.54206	9.9286	198100	FALSE
11146	0	582.54631	9.9306	323600	FALSE
11147	0	583.54956	9.9261	119200	FALSE
11151	4	411.37393	9.9411	199500	TRUE
11155	2	584.56127	9.9271	2463000	TRUE
11157	0	585.56522	9.938	940400	FALSE
11158	0	586.56831	9.9316	195800	FALSE
11161	0	517.2961	9.9483	131000	FALSE
11162	0	553.51908	9.9521	118300	FALSE
11163	0	608.54935	9.9508	75770	FALSE
11165	0	566.55129	9.9573	167000	FALSE
11166	0	846.29315	9.9691	151400	FALSE
11170	3	596.562	9.9551	685200	TRUE
11172	0	586.5683	9.9718	196900	FALSE
11174	0	606.54404	9.9931	652500	FALSE
11175	0	607.54723	9.987	245100	FALSE
11176	0	542.54202	9.9801	169400	FALSE
11177	4	584.56179	9.9877	2261000	TRUE
11187	0	764.57282	10.0143	98060	FALSE
11188	0	580.53889	10.0266	169100	FALSE
11190	3	411.374	10.0026	157300	TRUE
11191	0	763.56954	10.0173	204000	FALSE
11192	0	585.5652	10.0226	879400	FALSE
11193	0	738.55823	10.0314	83520	FALSE
11194	3	566.55124	10.0509	527800	TRUE
11195	2	579.53525	10.0356	434100	TRUE
11196	0	567.55448	10.0508	234200	FALSE
11197	0	737.55431	10.0311	178100	FALSE
11198	0	552.33318	10.0833	142600	FALSE
11201	0	763.56945	10.094	201500	FALSE
11202	1	579.53522	10.095	406300	TRUE
11203	1	596.56193	10.1009	649600	TRUE
11205	0	610.61389	10.1095	217600	FALSE
11206	2	566.55123	10.1047	595500	TRUE
11208	0	542.54201	10.1152	260500	FALSE
11210	0	567.55453	10.1104	243300	FALSE
11212	3	584.56184	10.1178	2033000	TRUE
11213	0	758.61405	10.1104	93000	FALSE
11214	0	585.56518	10.1214	794500	FALSE
11223	0	562.51753	10.1475	366100	FALSE
11236	0	563.52139	10.1462	140500	FALSE
11241	0	606.54378	10.1515	1068000	FALSE
11247	0	607.54719	10.1551	456300	FALSE
11253	0	737.55442	10.1504	179600	FALSE
11254	0	764.57317	10.1371	104400	FALSE
11276	0	601.51727	10.152	465700	FALSE
11277	0	602.51977	10.147	202500	FALSE
11362	5	532.35295	10.1835	761000	TRUE
11366	0	554.33518	10.1847	350400	FALSE
11383	2	399.39908	10.2068	169300	TRUE
11384	0	533.35656	10.2096	237400	FALSE
11389	2	532.35296	10.2251	484100	TRUE
11392	3	421.27173	10.2376	237100	TRUE
11417	0	369.35196	10.252	146600	FALSE
11426	0	512.3769	10.2488	189800	FALSE
11427	33	510.37097	10.2498	3190000	TRUE
11434	0	142.02648	10.2549	2209000	FALSE
11456	0	511.37441	10.2548	995500	FALSE
11539	6	623.29591	10.32	206200	TRUE
11664	0	267.14332	10.5622	42300	FALSE
11684	0	178.13402	11.0434	335300	FALSE
11686	0	178.13398	11.1801	66900	FALSE
11687	0	178.13398	11.2382	68450	FALSE
9	1	246.10873	0.3408	8566000	TRUE
34	0	344.87594	0.3509	1190000	FALSE
52	6	175.14424	0.3862	8086000	TRUE
82	0	185.10345	0.4163	979900	FALSE
93	6	245.14985	0.4282	3475000	TRUE
186	0	232.02704	0.5072	711400	FALSE
199	0	236.99337	0.5341	1269000	FALSE
204	1	142.09761	0.5289	4099000	TRUE
316	5	253.09348	0.6687	1028000	TRUE
319	8	337.14734	0.6737	954900	TRUE
322	0	231.14562	0.655	308200	FALSE
330	1	311.12372	0.6723	388100	TRUE
339	4	497.19834	0.6838	547500	TRUE
341	0	320.18188	0.6909	286100	FALSE
348	3	300.14455	0.6848	1423000	TRUE
349	0	185.09224	0.6809	1236000	FALSE
354	0	373.17211	0.6875	213800	FALSE
375	0	325.13982	0.711	234600	FALSE
381	0	205.14498	0.7276	345300	FALSE
389	0	245.14989	0.7394	177800	FALSE
395	10	277.15495	0.7361	1480000	TRUE
401	0	198.08751	0.754	250600	FALSE
403	0	265.15499	0.7447	221500	FALSE
419	0	238.12875	0.7652	268200	FALSE
425	2	204.10199	0.7588	947300	TRUE
428	0	257.11368	0.7671	110600	FALSE
430	0	273.09711	0.7794	151300	FALSE
444	0	169.12658	0.7775	47620	FALSE
454	0	205.0975	0.7977	112700	FALSE
473	0	287.1604	0.8144	411100	FALSE
540	0	238.98422	0.8476	324100	FALSE
541	0	152.98605	0.847	125600	FALSE
542	0	230.03388	0.8455	212300	FALSE
551	0	238.08261	0.8769	364300	FALSE
559	0	183.08468	0.871	80910	FALSE
563	0	347.19292	0.8745	348500	FALSE
565	0	244.12943	0.8785	342600	FALSE
