new_group	annotated_feature	max_area	annotated_feature_f
-2992	Unknown MS/MS	3139000	Unknown MS/MS
525	Unknown MS/MS	2998000	Unknown MS/MS
526	Annotated MS/MS	6574000	Annotated MS/MS
-3002	Chimeric MS/MS	1610000	Chimeric MS/MS
-3004	Unknown MS/MS	1038000	Unknown MS/MS
-3005	Annotated MS/MS	20130000	Annotated MS/MS
-3008	Unknown MS/MS	5519000	Unknown MS/MS
141	Annotated MS/MS	7392000	Annotated MS/MS
-3011	Chimeric MS/MS	1864000	Chimeric MS/MS
-3012	Unknown MS/MS	3106000	Unknown MS/MS
-3015	Unknown MS/MS	1389000	Unknown MS/MS
-3016	Chimeric MS/MS	1741000	Chimeric MS/MS
142	Chimeric MS/MS	3510000	Chimeric MS/MS
527	Unknown MS/MS	14420000	Unknown MS/MS
528	Chimeric MS/MS	2591000	Chimeric MS/MS
-3028	Unknown MS/MS	7533000	Unknown MS/MS
143	Annotated MS/MS	25250000	Annotated MS/MS
-3042	Unknown MS/MS	958400	Unknown MS/MS
-3046	Unknown MS/MS	1803000	Unknown MS/MS
529	Chimeric MS/MS	4888000	Chimeric MS/MS
-3049	Chimeric MS/MS	779400	Chimeric MS/MS
-3055	Unknown MS/MS	3890000	Unknown MS/MS
-3056	Chimeric MS/MS	1263000	Chimeric MS/MS
-3057	Unknown MS/MS	1091000	Unknown MS/MS
530	Unknown MS/MS	1496000	Unknown MS/MS
-3059	Unknown MS/MS	12060000	Unknown MS/MS
-3062	Unknown MS/MS	7076000	Unknown MS/MS
531	Unknown MS/MS	3876000	Unknown MS/MS
-3076	Unknown MS/MS	2490000	Unknown MS/MS
-3078	Chimeric MS/MS	2508000	Chimeric MS/MS
-3079	Chimeric MS/MS	1018000	Chimeric MS/MS
532	Unknown MS/MS	1721000	Unknown MS/MS
-3083	Chimeric MS/MS	4005000	Chimeric MS/MS
-3084	Unknown MS/MS	2214000	Unknown MS/MS
-3085	Chimeric MS/MS	2143000	Chimeric MS/MS
-3087	Chimeric MS/MS	1530000	Chimeric MS/MS
-3088	Unknown MS/MS	825800	Unknown MS/MS
-3089	Unknown MS/MS	5744000	Unknown MS/MS
-3093	Unknown MS/MS	1957000	Unknown MS/MS
-3094	Unknown MS/MS	3768000	Unknown MS/MS
533	Unknown MS/MS	5305000	Unknown MS/MS
-3099	Unknown MS/MS	4273000	Unknown MS/MS
-3100	Unknown MS/MS	1045000	Unknown MS/MS
-3102	Chimeric MS/MS	1267000	Chimeric MS/MS
534	Unknown MS/MS	5373000	Unknown MS/MS
-3108	Chimeric MS/MS	1310000	Chimeric MS/MS
535	Unknown MS/MS	6073000	Unknown MS/MS
-3111	Chimeric MS/MS	1292000	Chimeric MS/MS
536	Annotated MS/MS	1646000	Annotated MS/MS
144	Annotated MS/MS	2903000	Annotated MS/MS
-3119	Unknown MS/MS	1301000	Unknown MS/MS
-3120	Chimeric MS/MS	1521000	Chimeric MS/MS
537	Chimeric MS/MS	2619000	Chimeric MS/MS
-3126	Unknown MS/MS	3267000	Unknown MS/MS
-3129	Chimeric MS/MS	878000	Chimeric MS/MS
-3130	Annotated MS/MS	2279000	Annotated MS/MS
-3133	Chimeric MS/MS	927700	Chimeric MS/MS
-3134	Annotated MS/MS	21790000	Annotated MS/MS
-3135	Chimeric MS/MS	1050000	Chimeric MS/MS
539	Annotated MS/MS	16360000	Annotated MS/MS
541	Chimeric MS/MS	1851000	Chimeric MS/MS
-3148	Unknown MS/MS	1535000	Unknown MS/MS
543	Chimeric MS/MS	11800000	Chimeric MS/MS
542	Chimeric MS/MS	1698000	Chimeric MS/MS
544	Unknown MS/MS	4786000	Unknown MS/MS
145	Annotated MS/MS	26830000	Annotated MS/MS
-3166	Chimeric MS/MS	1046000	Chimeric MS/MS
-3170	Annotated MS/MS	587400	Annotated MS/MS
546	Chimeric MS/MS	4790000	Chimeric MS/MS
-3181	Unknown MS/MS	1442000	Unknown MS/MS
-3182	Unknown MS/MS	1510000	Unknown MS/MS
-3183	Chimeric MS/MS	983400	Chimeric MS/MS
-3186	Unknown MS/MS	3244000	Unknown MS/MS
547	Chimeric MS/MS	1414000	Chimeric MS/MS
548	Unknown MS/MS	2897000	Unknown MS/MS
-3189	Chimeric MS/MS	1145000	Chimeric MS/MS
-3194	Unknown MS/MS	4367000	Unknown MS/MS
-3195	Chimeric MS/MS	3610000	Chimeric MS/MS
-3196	Unknown MS/MS	4690000	Unknown MS/MS
550	Unknown MS/MS	16110000	Unknown MS/MS
551	Unknown MS/MS	1883000	Unknown MS/MS
552	No MS/MS	1315000	No MS/MS
-3208	Chimeric MS/MS	918500	Chimeric MS/MS
146	Annotated MS/MS	304500000	Annotated MS/MS
-3214	Unknown MS/MS	2086000	Unknown MS/MS
553	No MS/MS	2775000	No MS/MS
-3230	Chimeric MS/MS	1691000	Chimeric MS/MS
554	Annotated MS/MS	45120000	Annotated MS/MS
556	Unknown MS/MS	3899000	Unknown MS/MS
555	Unknown MS/MS	4735000	Unknown MS/MS
-3264	Unknown MS/MS	2737000	Unknown MS/MS
-3273	Chimeric MS/MS	1418000	Chimeric MS/MS
-3274	Chimeric MS/MS	1765000	Chimeric MS/MS
-3275	Unknown MS/MS	935200	Unknown MS/MS
-3277	Unknown MS/MS	3072000	Unknown MS/MS
-3279	Chimeric MS/MS	1421000	Chimeric MS/MS
-3280	No MS/MS	850900	No MS/MS
-3281	Unknown MS/MS	3308000	Unknown MS/MS
558	Annotated MS/MS	7429000	Annotated MS/MS
-3285	Unknown MS/MS	2622000	Unknown MS/MS
-3288	Unknown MS/MS	2791000	Unknown MS/MS
-3290	Chimeric MS/MS	3783000	Chimeric MS/MS
559	Unknown MS/MS	3825000	Unknown MS/MS
-3295	Unknown MS/MS	1891000	Unknown MS/MS
-3296	Unknown MS/MS	2108000	Unknown MS/MS
560	Annotated MS/MS	20910000	Annotated MS/MS
-3301	Unknown MS/MS	1541000	Unknown MS/MS
-3315	No MS/MS	87390000	No MS/MS
-3328	Unknown MS/MS	4356000	Unknown MS/MS
149	Annotated MS/MS	4.816e+09	Annotated MS/MS
-3347	No MS/MS	38690000	No MS/MS
-3356	No MS/MS	5120000	No MS/MS
-3366	Unknown MS/MS	2393000	Unknown MS/MS
561	Unknown MS/MS	3410000	Unknown MS/MS
-3371	Chimeric MS/MS	6649000	Chimeric MS/MS
-3372	Unknown MS/MS	2319000	Unknown MS/MS
-3379	Unknown MS/MS	2198000	Unknown MS/MS
-3380	Unknown MS/MS	3967000	Unknown MS/MS
-3382	Chimeric MS/MS	3837000	Chimeric MS/MS
-3385	Annotated MS/MS	5906000	Annotated MS/MS
-3388	Unknown MS/MS	2084000	Unknown MS/MS
-3389	Unknown MS/MS	1943000	Unknown MS/MS
150	Chimeric MS/MS	4043000	Chimeric MS/MS
-3392	Unknown MS/MS	5986000	Unknown MS/MS
-3395	Unknown MS/MS	3819000	Unknown MS/MS
562	Unknown MS/MS	19780000	Unknown MS/MS
-3400	Unknown MS/MS	1424000	Unknown MS/MS
-3402	Unknown MS/MS	1024000	Unknown MS/MS
-3403	Chimeric MS/MS	874600	Chimeric MS/MS
-3406	Unknown MS/MS	1198000	Unknown MS/MS
-3408	Unknown MS/MS	3471000	Unknown MS/MS
-3409	Chimeric MS/MS	1317000	Chimeric MS/MS
-3413	Chimeric MS/MS	1236000	Chimeric MS/MS
-3414	Unknown MS/MS	2449000	Unknown MS/MS
565	Unknown MS/MS	29600000	Unknown MS/MS
-3420	Unknown MS/MS	1060000	Unknown MS/MS
-3424	Chimeric MS/MS	2008000	Chimeric MS/MS
566	Unknown MS/MS	28140000	Unknown MS/MS
151	Chimeric MS/MS	422300000	Chimeric MS/MS
-3444	Unknown MS/MS	1380000	Unknown MS/MS
-3446	Unknown MS/MS	5251000	Unknown MS/MS
-3449	Chimeric MS/MS	1253000	Chimeric MS/MS
152	Unknown MS/MS	2113000	Unknown MS/MS
-3453	Unknown MS/MS	1670000	Unknown MS/MS
-3455	Chimeric MS/MS	1375000	Chimeric MS/MS
567	Unknown MS/MS	6607000	Unknown MS/MS
569	Annotated MS/MS	2780000	Annotated MS/MS
-3466	Chimeric MS/MS	1703000	Chimeric MS/MS
570	Chimeric MS/MS	30770000	Chimeric MS/MS
153	Chimeric MS/MS	2191000	Chimeric MS/MS
154	Chimeric MS/MS	4607000	Chimeric MS/MS
-3477	Unknown MS/MS	5521000	Unknown MS/MS
-3478	Unknown MS/MS	1699000	Unknown MS/MS
-3479	Chimeric MS/MS	1917000	Chimeric MS/MS
571	Annotated MS/MS	2115000	Annotated MS/MS
-3482	No MS/MS	860000	No MS/MS
-3483	Chimeric MS/MS	3268000	Chimeric MS/MS
-3485	Chimeric MS/MS	3736000	Chimeric MS/MS
572	Unknown MS/MS	3019000	Unknown MS/MS
-3488	No MS/MS	2365000	No MS/MS
-3489	Unknown MS/MS	583200	Unknown MS/MS
