peak_id,rt,mz,intensity,homologue_id,within_series_id
13640,6.0283,825.48862,48220,138,9
13762,6.1438,869.5149,24870,138,10
20220,10.1149,470.34771,49660,137,1
22136,10.3124,498.37904,107900,137,2
21985,10.454,526.41051,98290,137,3
23501,10.5821,554.44173,189000,137,4
24018,10.6598,582.47314,58960,137,5
14251,6.6798,469.62837,25510,136,1
14387,6.8057,498.97901,133800,136,2
14540,6.9254,528.32972,179400,136,3
14675,7.033,557.6806,157900,136,4
14756,7.1443,587.03147,67170,136,5
14869,7.2389,616.38237,28400,136,6
18714,9.7256,469.31615,42710,135,1
19523,9.9266,495.33172,80740,135,2
19595,10.0354,521.34594,124300,135,3
20159,10.1235,547.36078,693900,135,4
20584,10.1709,573.3765,90180,135,5
14250,6.6767,469.2939,96080,134,1
14385,6.8054,498.64468,338100,134,2
14533,6.9226,527.99538,431500,134,3
14669,7.0355,557.34632,234000,134,4
14754,7.1435,586.69716,166700,134,5
14860,7.2364,616.048,74220,134,6
14887,7.312,645.39884,31570,134,7
14176,6.6165,468.95945,71800,133,1
14354,6.7864,512.98561,227200,133,2
14561,6.9627,557.01172,168100,133,3
14736,7.125,601.03813,108200,133,4
14888,7.3157,645.06437,33920,133,5
14249,6.6737,463.28386,23860,132,1
14229,6.7413,477.9593,55640,132,2
14376,6.8038,492.63473,96530,132,3
14438,6.8655,507.31014,118900,132,4
14535,6.9227,521.9855,83290,132,5
14491,6.9813,536.66098,93310,132,6
14670,7.036,551.33634,51790,132,7
14714,7.0917,566.01171,42210,132,8
14697,7.1259,580.68713,20550,132,9
12678,4.7419,455.24894,29630,131,1
12855,4.9597,499.27518,49880,131,2
12993,5.1525,543.30143,52790,131,3
13113,5.3299,587.32759,54760,131,4
13192,5.4892,631.35369,49360,131,5
13277,5.6384,675.3798,31580,131,6
13395,5.7778,719.40592,16590,131,7
14198,6.6104,454.61849,23030,130,1
14330,6.7441,483.96929,191300,130,2
14441,6.8659,513.31999,376000,130,3
14598,6.9833,542.67084,388000,130,4
14716,7.0917,572.02173,249400,130,5
14797,7.1943,601.37263,77930,130,6
14904,7.282,630.7234,34840,130,7
14970,7.3473,660.07426,8081,130,8
14194,6.6096,454.28404,41280,129,1
14247,6.6747,468.95943,138700,129,2
14328,6.7423,483.63483,288000,129,3
14383,6.8049,498.31013,396300,129,4
14446,6.8673,512.98556,506800,129,5
14539,6.924,527.66093,509600,129,6
14595,6.9818,542.33637,345900,129,7
14674,7.0374,557.01182,374700,129,8
14712,7.0897,571.68726,290900,129,9
14757,7.1445,586.36269,210500,129,10
13309,5.7003,452.77968,17420,128,1
13421,5.8212,474.79282,54260,128,2
13536,5.9283,496.8059,111200,128,3
13634,6.0222,518.81901,220500,128,4
13720,6.1179,540.83214,278200,128,5
13817,6.2077,562.84522,388200,128,6
13905,6.2949,584.85827,489700,128,7
13970,6.3765,606.87143,649900,128,8
14046,6.4555,628.88446,798400,128,9
14123,6.5294,650.89751,870000,128,10
14182,6.5999,672.9106,817100,128,11
14237,6.6691,694.9236,676200,128,12
14319,6.7401,716.93676,751700,128,13
14367,6.8011,738.94987,526600,128,14
14430,6.8618,760.96289,330300,128,15
14528,6.92,782.97595,212000,128,16
14589,6.98,804.98926,113500,128,17
14580,7.0313,827.00246,51790,128,18
14710,7.0718,849.01589,32910,128,19
24275,10.7133,452.39469,51080,127,1
25397,10.9935,496.4209,676500,127,2
26186,11.1432,540.44719,276300,127,3
26402,11.2261,584.47339,280300,127,4
26602,11.2907,628.49972,254100,127,5
13338,5.7108,452.27794,61010,126,1
13533,5.9272,496.30419,243000,126,2
13725,6.1199,540.33043,548000,126,3
13903,6.2934,584.35654,1002000,126,4
14039,6.4528,628.38274,1174000,126,5
14183,6.6008,672.40888,1203000,126,6
14317,6.7361,716.43499,1017000,126,7
14429,6.8608,760.46121,376600,126,8
14597,6.9828,804.48754,148900,126,9
14634,7.0769,848.51434,40060,126,10
20357,10.1315,449.28764,595400,125,1
21813,10.3281,477.31925,320200,125,2
22957,10.4965,505.35095,710100,125,3
23790,10.579,533.38326,134700,125,4
23916,10.6146,561.41496,34280,125,5
12781,4.8688,447.26198,82020,124,1
12929,5.0637,491.28951,65960,124,2
13064,5.2574,535.31561,48120,124,3
13155,5.4302,579.3418,29740,124,4
13252,5.5878,623.36805,17090,124,5
20878,10.2006,444.33207,34860,123,1
21821,10.3216,472.36338,32700,123,2
22547,10.4483,500.39474,74470,123,3
24358,10.6412,528.42615,130400,123,4
25210,10.9111,556.45735,8814,123,5
13312,5.7117,443.76461,16050,122,1
13422,5.8229,465.77786,32690,122,2
13532,5.9259,487.7909,62640,122,3
13632,6.0202,509.80401,92710,122,4
13717,6.1166,531.81719,133000,122,5
13820,6.2087,553.83024,153900,122,6
13901,6.293,575.84333,166100,122,7
13965,6.3745,597.85643,178300,122,8
14040,6.4528,619.86953,228400,122,9
14117,6.528,641.88261,201300,122,10
14181,6.5989,663.89567,202700,122,11
14238,6.6692,685.90871,148600,122,12
14316,6.736,707.9218,112700,122,13
14365,6.7999,729.93482,92470,122,14
14437,6.8654,751.94796,33870,122,15
14454,6.9118,773.96136,17070,122,16
12756,4.8275,438.23919,47130,121,1
12910,5.0388,482.26548,70640,121,2
13035,5.2295,526.29155,73400,121,3
13148,5.4042,570.31785,44940,121,4
13235,5.5666,614.34421,34010,121,5
20305,10.204,437.32625,232400,120,1
22376,10.4132,465.35758,383600,120,2
23519,10.5773,493.38903,295600,120,3
24418,10.7465,521.42043,317000,120,4
24792,10.831,549.45165,31990,120,5
26981,11.4374,436.39995,14450,119,1
27164,11.4901,480.42605,13620,119,2
27331,11.5459,524.45235,24190,119,3
27552,11.6168,568.47843,31100,119,4
27767,11.704,612.50488,35220,119,5
28058,11.7971,656.53059,34860,119,6
28366,11.9301,700.5569,34310,119,7
28694,12.0668,744.58328,28270,119,8
12769,4.8272,435.28841,20470,118,1
12920,5.0397,479.31488,41480,118,2
13036,5.2301,523.341,52980,118,3
13146,5.4042,567.36725,50320,118,4
13232,5.5646,611.39375,45130,118,5
13334,5.7123,655.42009,24010,118,6
13254,5.6075,430.26487,13460,117,1
13423,5.8173,474.29107,130700,117,2
13633,6.0221,518.31731,404000,117,3
13821,6.2092,562.3435,758600,117,4
13969,6.3764,606.3697,1122000,117,5
14126,6.5303,650.3958,1234000,117,6
14244,6.6709,694.4219,1274000,117,7
14370,6.8015,738.44814,567300,117,8
14534,6.9227,782.47433,309900,117,9
14678,7.0385,826.5009,78800,117,10
14758,7.133,870.52679,17780,117,11
12474,4.4949,428.24922,19430,116,1
12674,4.7389,472.2755,92960,116,2
12848,4.9554,516.30171,237300,116,3
12992,5.151,560.3279,427900,116,4
13110,5.329,604.35411,552300,116,5
13194,5.4892,648.38017,662800,116,6
13276,5.6374,692.40634,578300,116,7
13393,5.776,736.43256,375800,116,8
13511,5.9074,780.45884,239000,116,9
13643,6.0298,824.48514,124000,116,10
13763,6.1431,868.51142,65400,116,11
13856,6.2491,912.53768,25360,116,12
13945,6.3546,956.56426,12570,116,13
20158,10.0984,427.30546,38150,115,1
21805,10.329,455.33674,64610,115,2
22983,10.5051,483.3682,155900,115,3
23965,10.6546,511.39972,80920,115,4
24651,10.7936,539.43088,22790,115,5
22052,10.3397,426.34413,24430,114,1
22771,10.4807,484.38457,10600,114,2
24085,10.664,542.42663,5763,114,3
25024,10.8536,600.46883,79660,114,4
25699,11.0443,658.51039,14480,114,5
12538,4.592,417.28901,29140,113,1
12753,4.8289,461.31528,83860,113,2
12903,5.0387,505.34143,126400,113,3
13038,5.2292,549.36775,122500,113,4
13142,5.4043,593.39386,86410,113,5
13233,5.5644,637.41998,42670,113,6
13330,5.713,681.44626,24950,113,7
19794,10.0391,412.32715,9461,112,1
20929,10.2841,426.34291,17660,112,2
22847,10.484,440.35844,31260,112,3
23701,10.6089,454.37388,49060,112,4
24302,10.7141,468.3896,1001000,112,5
19476,9.9817,410.29832,23150,111,1
20859,10.2071,438.32973,47520,111,2
22374,10.4137,466.36108,99040,111,3
23988,10.5827,494.39266,113700,111,4
24401,10.7398,522.42386,94510,111,5
12542,4.5942,409.1836,68370,110,1
12751,4.8274,453.2099,140800,110,2
12915,5.0387,497.23604,188200,110,3
13000,5.2303,541.26212,176500,110,4
13147,5.4056,585.28847,93800,110,5
13240,5.5656,629.31464,68780,110,6
13316,5.7126,673.34068,34300,110,7
12547,4.5937,390.25947,35310,109,1
12752,4.827,434.28582,153800,109,2
12911,5.0391,478.3122,313500,109,3
13043,5.2302,522.33858,392800,109,4
13138,5.4041,566.36485,363100,109,5
13236,5.5656,610.39113,289100,109,6
13320,5.7138,654.41739,169900,109,7
13452,5.8507,698.44372,67030,109,8
13582,5.9796,742.46987,27950,109,9
13353,5.7299,386.24274,39650,108,1
13464,5.8525,408.25583,62820,108,2
13569,5.9653,430.26889,79450,108,3
13681,6.0742,452.28209,65180,108,4
13786,6.1766,474.29517,59200,108,5
13865,6.2702,496.30823,42660,108,6
13949,6.3634,518.3214,27860,108,7
26898,11.4028,377.2874,16100,107,1
27593,11.5841,391.30303,11430,107,2
28204,11.8545,405.31865,13870,107,3
28743,12.1022,419.33434,12750,107,4
29470,12.4554,433.3499,6131,107,5
13274,5.636,377.23332,25740,106,1
13376,5.7693,399.2464,32310,106,2
