id_number,rtime,mz,kp,interim_id,isotope,modification,ion_relation
12458,267.198144,187.045806583129,,,,,
12459,268.809588,307.165338992175,,,,,
12460,268.95276,487.211114342389,,,,,
12461,268.91712,232.116175484794,kp1316_230.1056,root@230.1056,13C 1,M+H+,"13C 1,M+H+"
12462,269.039784,312.943167135601,,,,,
12463,267.82512,120.080741597277,,,,,
12464,269.352438,233.966663816963,kp1321_230.9636,root@230.9636,34S 1,M+H+,"34S 1,M+H+"
12465,270.193578,215.125424578371,,,,,
12466,271.781442,256.190772784665,,,,,
12467,266.644476,165.050897554955,,,,,
12468,266.387412,146.019261702474,,,,,
12469,269.47011,205.070946672793,,,,,
12470,269.467764,270.040717397057,,,,,
12471,269.535024,238.201373263718,,,,,
12472,269.7948,236.906968245058,,,,,
12473,266.22228,167.048479917328,kp1322_165.0443,root@165.0443,15N 1,M+H+,"15N 1,M+H+"
12474,269.69184,428.249216681368,,,,,
12475,268.207056,172.018500269836,,,,,
12476,270.17541,325.175939854213,,,,,
12477,270.33384,347.200780359062,kp1320_345.1901,root@345.1901,13C 1,M+H+,"13C 1,M+H+"
12478,270.516042,368.179345469355,,,,,
12479,270.282438,209.117291069717,,,,,
12480,270.02961,227.127858547614,,,,,
12481,270.67326,264.142389567297,,,,,
12482,270.524484,346.197388351752,kp1320_345.1901,root@345.1901,M0,M+H+,"M0,M+H+"
12483,270.351618,386.058263279699,,,,,
12484,270.64158,377.228380978352,,,,,
12485,270.63546,231.970954502994,kp1321_230.9636,root@230.9636,M0,M+H+,"M0,M+H+"
12486,270.47064,187.107731670509,,,,,
12487,269.48688,172.976993490274,,,,,
12488,270.9585,242.175146202895,,,,,
12489,271.97742,312.18062990531,,,,,
12490,271.641738,495.320516635244,,,,,
12491,271.244862,475.240231063458,,,,,
12492,271.55664,248.653645267968,,,,,
12493,268.39842,166.05176243902,kp1322_165.0443,root@165.0443,M0,M+H+,"M0,M+H+"
12494,271.634676,495.272974165931,,,,,
12495,271.425276,497.30368743192,kp1323_494.2896,root@494.2896,13C 2,M+H+,"13C 2,M+H+"
12496,271.50813,496.300351712737,kp1323_494.2896,root@494.2896,13C 1,M+H+,"13C 1,M+H+"
12497,271.5546,495.29678985073,kp1323_494.2896,root@494.2896,M0,M+H+,"M0,M+H+"
12498,267.875004,214.987607483368,,,,,
12499,271.888818,466.270269464035,,,,,
12500,271.59372,248.151985581746,,,,,
12501,269.917404,187.045812105359,,,,,
12502,271.41642,517.278736103283,,,,,
12503,271.394208,239.102683262499,,,,,
12504,271.138116,124.024354831919,,,,,
12505,270.266478,311.944043930859,,,,,
12506,271.75014,266.175146112358,,,,,
12507,272.5737,194.15398082343,,,,,
12508,272.851524,172.096807037088,,,,,
12509,272.18136,243.134001794621,,,,,
12510,271.4709,203.085601285555,,,,,
12511,271.9779,263.13908699977,kp1324_262.1318,root@262.1318,M0,M+H+,"M0,M+H+"
12512,272.47533,206.078750595497,,,,,
12513,271.30284,142.948097559771,,,,,
12514,270.657036,140.001911374935,,,,,
12515,273.43248,233.966654518813,,,,,
12516,274.6287,334.915182986155,,,,,
12517,272.1969,307.165351198554,,,,,
12518,271.79064,172.018495959852,,,,,
12519,275.83683,239.139089532996,,,,,
12521,273.89256,278.150024968518,,,,,
12522,274.1508,611.252656144124,,,,,
12523,274.0971,269.959916169868,,,,,
12524,274.0128,347.123884217214,,,,,
12525,274.091004,224.091787106866,,,,,
12526,274.0401,309.181000936658,,,,,
12527,274.907484,256.190766236461,,,,,
12528,274.10292,362.207528495192,,,,,
12529,273.11928,257.977278540356,,,,,
12530,273.246258,264.142404682327,kp1324_262.1318,root@262.1318,13C 1,M+H+,"13C 1,M+H+"
12531,273.76338,114.073316264567,,,,,
12532,279.07548,279.17040248794,,,,,
12533,275.501544,281.14966041526,,,,,
12534,275.27916,158.117572750193,,,,,
12535,275.87322,272.010136852901,,,,,
12536,275.51334,388.254262203638,kp1325_387.247,root@387.247,M0,M+H+,"M0,M+H+"
12537,276.01035,489.255704742296,,,,,
12538,275.52252,417.289014844689,kp1326_415.2783,root@415.2783,13C 1,M+H+,"13C 1,M+H+"
12539,275.625804,416.285584965521,kp1326_415.2783,root@415.2783,M0,M+H+,"M0,M+H+"
