peak_id,rt,mz,intensity,homologue_id,within_series_id
12671,4.736,473.27893,17010,308,1
12850,4.9564,517.30525,51130,308,2
12990,5.15,561.33138,103100,308,3
13107,5.3275,605.3576,154900,308,4
13193,5.4887,649.38365,194100,308,5
13275,5.6369,693.40981,184000,308,6
13394,5.7765,737.43601,130000,308,7
13508,5.9074,781.46227,88980,308,8
13640,6.0283,825.48862,48220,308,9
13762,6.1438,869.5149,24870,308,10
20186,10.1167,471.34697,46780,307,1
20768,10.2408,515.37237,40140,307,2
21299,10.3261,559.39873,7278,307,3
22191,10.4188,603.42429,123500,307,4
22805,10.4766,647.45014,47090,307,5
14251,6.6798,469.62837,25510,306,1
14387,6.8057,498.97901,133800,306,2
14540,6.9254,528.32972,179400,306,3
14675,7.033,557.6806,157900,306,4
14756,7.1443,587.03147,67170,306,5
14869,7.2389,616.38237,28400,306,6
14906,7.2976,645.73311,9172,306,7
18107,9.5382,469.31605,15850,305,1
19133,9.8359,495.3317,348800,305,2
19595,10.0354,521.34594,124300,305,3
20915,10.1666,547.36079,857100,305,4
21634,10.3052,573.37647,421200,305,5
22402,10.4001,599.39233,15340,305,6
14250,6.6767,469.2939,96080,304,1
14385,6.8054,498.64468,338100,304,2
14533,6.9226,527.99538,431500,304,3
14669,7.0355,557.34632,234000,304,4
14754,7.1435,586.69716,166700,304,5
14860,7.2364,616.048,74220,304,6
14887,7.312,645.39884,31570,304,7
14176,6.6165,468.95945,71800,303,1
14308,6.7285,498.31023,312400,303,2
14414,6.8478,527.66099,230100,303,3
14561,6.9627,557.01172,168100,303,4
14694,7.0758,586.36268,106400,303,5
14862,7.2355,615.71354,77660,303,6
19749,10.0271,468.33206,47950,302,1
21006,10.2285,496.36332,127600,302,2
22189,10.3907,524.39472,170000,302,3
23332,10.5472,552.42613,240800,302,4
24488,10.7026,580.45738,10900,302,5
24710,10.8248,608.48862,77340,302,6
17857,9.3874,467.30017,12240,301,1
18024,9.4847,493.31567,39830,301,2
18215,9.6258,519.32991,31730,301,3
18862,9.838,545.34507,94540,301,4
19747,10.0781,571.36064,51470,301,5
21649,10.3025,597.37599,4371,301,6
17510,9.1393,465.28303,32810,300,1
17623,9.3035,493.31549,14450,300,2
18028,9.5259,521.34696,219000,300,3
18745,9.8455,549.37804,5967,300,4
21691,10.3376,577.4091,37160,300,5
19156,9.8613,465.28277,72230,299,1
20637,10.1202,493.31448,130000,299,2
21243,10.2578,521.34548,438900,299,3
22804,10.3521,549.37731,307500,299,4
22265,10.4157,577.40964,180700,299,5
14249,6.6737,463.28386,23860,298,1
14229,6.7413,477.9593,55640,298,2
14376,6.8038,492.63473,96530,298,3
14438,6.8655,507.31014,118900,298,4
14535,6.9227,521.9855,83290,298,5
14491,6.9813,536.66098,93310,298,6
14670,7.036,551.33634,51790,298,7
14714,7.0917,566.01171,42210,298,8
14697,7.1259,580.68713,20550,298,9
18306,9.7036,461.25134,7254,297,1
19604,10,489.28266,61460,297,2
21604,10.2218,517.31391,146100,297,3
22326,10.3457,545.34504,118900,297,4
22752,10.4095,573.37648,92460,297,5
20982,10.2304,455.27724,15430,296,1
22174,10.396,485.3249,42420,296,2
23851,10.582,515.37331,27450,296,3
24890,10.7993,545.42033,16760,296,4
25830,11.1133,575.46727,280100,296,5
12678,4.7419,455.24894,29630,295,1
12855,4.9597,499.27518,49880,295,2
12993,5.1525,543.30143,52790,295,3
13113,5.3299,587.32759,54760,295,4
13192,5.4892,631.35369,49360,295,5
13277,5.6384,675.3798,31580,295,6
13395,5.7778,719.40592,16590,295,7
14198,6.6104,454.61849,23030,294,1
14330,6.7441,483.96929,191300,294,2
14441,6.8659,513.31999,376000,294,3
14598,6.9833,542.67084,388000,294,4
14716,7.0917,572.02173,249400,294,5
14797,7.1943,601.37263,77930,294,6
14904,7.282,630.7234,34840,294,7
14970,7.3473,660.07426,8081,294,8
14194,6.6096,454.28404,41280,293,1
14247,6.6747,468.95943,138700,293,2
14328,6.7423,483.63483,288000,293,3
14383,6.8049,498.31013,396300,293,4
14446,6.8673,512.98556,506800,293,5
14539,6.924,527.66093,509600,293,6
14595,6.9818,542.33637,345900,293,7
14674,7.0374,557.01182,374700,293,8
14712,7.0897,571.68726,290900,293,9
14757,7.1445,586.36269,210500,293,10
13309,5.7003,452.77968,17420,292,1
13421,5.8212,474.79282,54260,292,2
13536,5.9283,496.8059,111200,292,3
13634,6.0222,518.81901,220500,292,4
13720,6.1179,540.83214,278200,292,5
13817,6.2077,562.84522,388200,292,6
13905,6.2949,584.85827,489700,292,7
