Source,Target,clique
24536,24538,True
24646,24935,True
6890,6918,True
16239,16242,True
26407,26423,True
11342,11373,True
12562,12574,True
14002,14007,True
22342,22350,True
8752,8754,True
9593,9599,True
7551,7566,True
9436,9615,True
29000,29003,True
6155,6176,True
32072,32076,True
5354,5373,True
30351,30364,True
5392,5399,True
17394,17398,True
18130,18257,True
9904,9905,True
1594,1670,True
9888,9897,True
14356,14360,True
3119,3147,True
14655,14656,True
26024,26025,True
13278,13279,True
16306,16309,True
13558,13562,True
11349,11389,True
28774,28781,True
13000,13042,True
13041,13043,True
9899,9911,True
19119,19121,True
7211,7215,True
14131,14134,True
17959,17971,True
11342,11386,True
2762,2765,True
12990,12997,True
17742,17744,True
17962,17976,True
2393,2410,True
29113,29122,True
11376,11384,True
11615,11629,True
17454,17462,True
2537,2539,True
13906,13908,True
9916,9972,True
17945,17965,True
15796,15806,True
14488,14492,True
13108,13110,True
12547,12548,True
18310,18322,True
28667,28668,True
6761,6763,True
17528,17532,True
14821,14823,True
13400,13403,True
17943,17976,True
5667,5674,True
13509,13511,True
13695,13701,True
14453,14548,True
20774,20842,True
2757,2784,True
9897,9972,True
18147,18156,True
21906,21930,True
12938,12941,True
27514,27534,True
18583,18723,True
11589,11626,True
13284,13285,True
20442,20490,True
30450,30453,True
23461,23471,True
11603,11645,True
5667,5687,True
14603,14613,True
6914,6954,True
24384,24385,True
18135,18159,True
18995,19017,True
18154,18172,True
30443,30450,True
10478,10489,True
19118,19124,True
23586,23587,True
2761,2768,True
35345,35370,True
17740,17751,True
13351,13352,True
27495,27534,True
6279,6564,True
20449,20506,True
10833,10838,True
18139,18170,True
2942,2964,True
13583,13594,True
16444,16447,True
13082,13083,True
5866,5873,True
17235,17242,True
6165,6169,True
12073,12102,True
25314,25315,True
2784,2792,True
28342,28345,True
11364,11376,True
2768,2784,True
16437,16444,True
16156,16165,True
13147,13148,True
12567,12573,True
20486,20694,True
16219,16221,True
14237,14239,True
26406,26415,True
13137,13140,True
26746,26749,True
18169,18170,True
13140,13145,True
30568,30579,True
24852,24853,True
30567,30583,True
1745,1760,True
19261,19270,True
11245,11253,True
23474,23480,True
33169,33212,True
18037,18135,True
12915,12919,True
13214,13215,True
28452,28459,True
23442,23447,True
18973,18988,True
8376,8401,True
31265,31271,True
14067,14070,True
14350,14358,True
13830,13834,True
32339,32354,True
35219,35220,True
12752,12753,True
28009,28010,True
16643,16646,True
18574,18582,True
9051,9105,True
13044,13046,True
33141,33163,True
13324,13329,True
9779,9780,True
10308,10309,True
2572,2575,True
13320,13331,True
17227,17232,True
30316,30317,True
12862,12867,True
23629,23636,True
18968,19044,True
24401,24418,True
11611,11629,True
35341,35344,True
5334,5341,True
21773,22261,True
13394,13401,True
23455,23456,True
15114,15117,True
2929,2933,True
27513,27526,True
14597,14598,True
8749,8753,True
18996,18998,True
19260,19273,True
18998,19007,True
20457,20490,True
14010,14020,True
14889,14891,True
10071,10315,True
13512,13514,True
9384,9385,True
12371,12377,True
32767,32790,True
29632,29634,True
13275,13278,True
9897,9906,True
13804,13807,True
8816,8820,True
24598,24679,True
17396,17404,True
23814,23816,True
3849,3855,True
11610,11619,True
12190,12194,True
2128,2143,True
26325,26327,True
15000,15001,True
18149,18257,True
25530,25534,True
26390,26392,True
5171,5188,True
20440,20499,True
30209,30217,True
24994,25002,True
12544,12547,True
25522,25535,True
30422,30446,True
10325,10329,True
13397,13402,True
13696,13698,True
9247,9248,True
17975,17996,True
25515,25532,True
23927,23935,True
11348,11366,True
29117,29322,True
14269,14270,True
32778,32790,True
16509,16510,True
13393,13404,True
18141,18150,True
13692,13700,True
29529,29532,True
14851,14854,True
26390,26405,True
2893,2898,True
5556,5766,True
19832,20104,True
17406,17408,True
15125,15130,True
11343,11372,True
8435,8444,True
14608,14611,True
18974,19026,True
27095,27096,True
24835,24847,True
30447,30452,True
13230,13238,True
5998,6003,True
13759,13767,True
24055,24362,True
11354,11359,True
17974,17986,True
13260,13265,True
19004,19026,True
31813,31828,True
15931,15994,True
11303,11313,True
11363,11364,True
19023,19039,True
11366,11369,True
16634,16639,True
25515,25666,True
24859,25032,True
24968,24975,True
24854,24873,True
11358,11370,True
17531,17537,True
16129,16130,True
28339,28344,True
15032,15036,True
15873,15881,True
2563,2568,True
12731,12749,True
19871,19900,True
6155,6165,True
26419,26422,True
1733,1818,True
35147,35170,True
11354,11372,True
17974,17999,True
30351,30353,True
12573,12577,True
26393,26406,True
18616,18634,True
11365,11386,True
1735,1783,True
12569,12579,True
12008,12017,True
24817,24819,True
18996,19040,True
1839,1840,True
6739,6751,True
6159,6176,True
2551,2571,True
26407,26425,True
18966,19053,True
13784,13786,True
6155,6178,True
17952,17957,True
4047,4057,True
9482,9504,True
5357,5380,True
1663,1735,True
19026,19040,True
18984,19043,True
9888,9899,True
4058,4071,True
5498,5504,True
13839,13843,True
11091,11096,True
20478,20483,True
13322,13324,True
25226,25229,True
13000,13044,True
13041,13045,True
2491,2533,True
3024,3033,True
12199,12204,True
19119,19123,True
12524,12526,True
14651,14660,True
11342,11388,True
9681,9690,True
7532,7568,True
14193,14196,True
13632,13634,True
29113,29124,True
11376,11386,True
12816,12819,True
13326,13335,True
17737,17752,True
13108,13112,True
13391,13400,True
28667,28670,True
