Node,clique_id
4307,2201398_3
4271,2201401_3
4293,2213017_4
4312,2213018_4
4252,2201456_3
3672,2201405_4
3677,2201405_4
3691,2201405_4
3695,2201405_4
3724,2201410_2
3729,2201410_2
3735,2201411_2
3989,2201411_2
3749,2201419_2
3861,2201419_2
3810,2201448_5
3833,2201447_7
3849,2201452_4
3838,2201451_5
3855,2201452_4
3825,2201456_3
4655,2213013_3
4253,2201456_3
4237,2213013_3
3862,2201495_4
3921,2201560_3
3916,2201555_3
3923,2201531_5
3882,2201518_4
3920,2201552_3
3897,2201534_3
3889,2201532_5
3866,2201498_2
3917,2201498_2
3879,2201512_4
3899,2201538_5
3912,2201531_5
3938,2201578_4
3914,2201553_5
3896,2201524_3
3903,2201541_5
3973,2201572_5
3948,2201577_3
3955,2201583_3
4565,2201583_3
3931,2201560_3
3942,2201578_4
3978,2201570_3
3943,2201577_3
3972,2201578_4
3959,2201583_3
4004,2201596_3
4010,2205252_3
4037,2210156_9
4027,2207338_11
4073,2212980_3
4070,2207321_3
4087,2212981_4
4085,2212984_4
4127,2212986_3
4095,2212988_3
4573,2212988_3
4570,2212988_3
4132,2212990_2
4549,2212990_2
4138,2212991_2
4154,2212991_2
4166,2213006_6
4620,2213163_4
4664,2213003_6
4651,2213167_4
4668,2213162_9
4624,2213163_4
5055,2213164_4
4657,2213168_4
4659,2213167_4
4437,2213006_6
4660,2213003_6
4656,2213164_4
4619,2213163_4
4666,2213004_8
4640,2213162_9
4642,2213162_9
4616,2213162_9
4644,2213153_10
4681,2212994_8
4289,2213019_4
4308,2213018_4
4337,2213033_5
4327,2213030_3
4311,2213023_3
4355,2213041_4
4363,2213047_4
4347,2213027_5
4351,2213037_4
4342,2213034_3
4344,2213026_5
4350,2213030_3
4373,2213047_4
4630,2213047_4
4385,2213043_3
4389,2213054_3
4357,2213042_5
4370,2213045_5
4740,2213045_5
4380,2213046_3
4393,2213054_3
4399,2213047_4
4405,2213054_3
4416,2213058_2
4428,2213058_2
4442,2213059_2
4450,2213059_2
4482,2213063_3
4490,2213071_4
4488,2213069_3
4500,2213071_4
4503,2213069_3
4920,2213071_4
4521,2213076_3
4507,2213071_4
4516,2213074_2
4519,2213074_2
4520,2213076_3
4530,2213076_3
4525,2213077_3
4544,2213077_3
4528,2213077_3
4562,2213081_2
4600,2213081_2
4586,2213083_5
4592,2213106_6
4607,2213125_6
4614,2213144_7
4621,2213143_9
4609,2213132_9
4588,2213088_5
4602,2213109_4
4598,2213084_4
4610,2213113_6
4591,2213105_5
5020,2213103_5
4615,2213125_6
4632,2213161_9
4626,2213148_4
4618,2213143_9
4634,2213151_5
4647,2213164_4
4605,2213118_9
4612,2213136_9
4606,2213119_5
4627,2213164_4
4635,2213165_5
4617,2213156_6
4641,2213159_6
4665,2213163_4
4661,2213168_4
4658,2213167_4
4673,2213170_3
4674,2213170_3
4697,2213170_3
4677,2213178_4
5073,2213535_4
5087,2213538_5
5083,2213535_4
5100,2213539_3
5067,2213527_5
5052,2213525_4
5068,2213528_3
5081,2213539_3
5091,2213538_5
5069,2213528_3
4753,2213192_6
4768,2213199_6
4771,2213199_6
4761,2213199_6
4773,2213198_7
4763,2213199_6
4770,2213198_7
4772,2213199_6
4755,2213196_2
4775,2213196_2
4778,2213199_6
4787,2213202_3
4799,2213202_3
4806,2213204_3
4803,2213203_3
4807,2213204_3
4813,2213204_3
4856,2213209_2
4860,2213209_2
4889,2213216_3
5518,2213879_5
5276,2213749_7
5324,2213865_6
5321,2213815_7
5355,2213980_8
5301,2213830_6
4936,2213408_3
4935,2213404_13
5371,2213502_9
5394,2214057_6
5368,2214042_14
5396,2214064_4
5392,2214064_4
5400,2213386_13
5372,2214054_6
5381,2214061_6
5370,2214046_11
4965,2213503_9
5369,2214052_7
5356,2214047_5
5380,2214040_15
5373,2214047_5
5399,2214064_4
5359,2214047_5
5353,2214014_4
5378,2214061_6
5377,2214042_14
5379,2213988_10
5387,2214060_7
5385,2214059_7
5383,2214046_11
5390,2214052_7
5357,2214040_15
5398,2214059_7
5393,2214061_6
5424,2213405_3
5466,2213408_3
4941,2213408_3
5417,2213407_3
4943,2213407_3
4937,2213409_7
4944,2213413_3
4958,2213409_7
4956,2213413_3
4957,2213412_6
4947,2213412_6
4948,2213412_6
4942,2213412_6
4987,2213413_3
5354,2214047_5
5349,2213946_8
5350,2213988_10
4967,2213505_4
4988,2213505_4
4976,2213505_4
5473,2213505_4
5017,2213517_5
5032,2213521_7
5026,2213521_7
5033,2213521_7
5029,2213521_7
5039,2213521_7
5038,2213520_7
5030,2213521_7
5044,2213521_7
5042,2213523_2
5045,2213523_2
5071,2213535_4
5066,2213526_4
5098,2213539_3
5090,2213538_5
5095,2213528_3
5092,2213535_4
5103,2213542_3
5134,2213554_3
5114,2213544_3
5111,2213543_4
5128,2213546_4
5131,2213547_4
5126,2213547_4
5136,2213556_3
5130,2213552_3
5332,2213874_7
5298,2213820_7
5333,2213867_4
5302,2213795_6
5289,2213801_5
5262,2213705_10
5327,2213867_4
5152,2213557_3
5158,2213557_3
5165,2213557_3
5159,2213558_3
5170,2213559_2
5181,2213559_2
5171,2213560_2
5188,2213560_2
5178,2213568_5
5236,2213655_9
5247,2213675_10
5223,2213598_6
5297,2213697_12
5224,2213619_10
5213,2213590_9
5244,2213667_11
5222,2213597_3
5253,2213684_11
5251,2213650_3
5216,2213592_9
5227,2213601_7
5179,2213569_4
5268,2213723_7
5269,2213718_11
5267,2213718_11
5185,2213570_7
5228,2213636_8
5233,2213643_5
5197,2213571_6
5277,2213702_12
5280,2213752_9
5198,2213573_3
5202,2213580_7
5309,2213818_8
5305,2213833_4
5313,2213841_5
5320,2213853_6
5306,2213820_7
5281,2213763_5
5239,2213656_5
5603,2213743_4
5245,2213587_7
5241,2213661_6
5218,2213594_3
5240,2213593_4
5238,2213593_4
5303,2213799_6
5412,2213597_3
5243,2213598_6
5261,2213703_10
5283,2213770_9
5270,2213703_10
5254,2213689_12
5226,2213621_8
5317,2213849_4
